author,repo_name,last_commit_date,total_go_locs
omaidf,go-malware,2019-01-15T20:11:42,552
tanktacle,VeryGoodWare,2022-03-31T17:00:13,366
himazawa,maldev,2022-12-11T00:35:16,256
D3Ext,maldev,2023-09-16T18:47:32,5228
magisterquis,malware,2016-05-11T03:50:32,1284
redcode-labs,Coldfire,2024-03-31T23:09:14,2834
tiagorlampert,CHAOS,2022-12-23T01:52:12,3187
EgeBalci,EGESPLOIT,2017-01-26T13:09:35,778
EgeBalci,HERCULES,2020-10-04T12:47:26,1346
EgeBalci,ARCANUS,2018-02-27T09:21:44,794
sambathkumar02,Basic-Malware,2021-07-17T14:56:17,105
corpix,uarand,2022-05-17T23:29:02,1392
inconshreveable,mousetrap,2022-11-27T22:01:53,58
Dliv3,Venom,2019-10-14T15:45:40,5137
Ne0nd0g,merlin,2024-04-23T05:09:23,20550
CuddlycatgirlArchive,gobot,2023-08-25T23:42:03,1674
himazawa,maldev,2022-12-11T00:35:16,256
sponkmonk,chatgpt-malware,2023-01-22T19:41:57,233
osonkr,malware-development,2021-12-22T20:54:24,1459
cesar-yoab,writing_malware,2022-06-02T16:17:57,69
User9684,discord-malware,2024-04-20T19:43:45,252
justyntemme,ai-malware-examples,2022-12-04T00:20:49,339
m4pol,fatebot,2024-01-19T10:55:39,1772
greytabby,gomal,2019-10-20T12:54:46,133
AnarchyLab,p0ggers,2022-11-06T20:50:10,241
ryuu07,malware-project-ransomware-creation,2022-04-29T13:46:10,1830
Ckrielle,TokenStealer,2023-07-19T20:23:52,223
sausagenoods,shady,2022-10-24T00:20:45,311
timsonner,go-malware-gob-reverse-tcp,2023-06-04T11:46:31,182
timsonner,go-malware-remote-process-dll-inject,2023-07-21T05:44:29,486
crpr777,BraveWalletDrainer,2024-01-04T23:09:44,87
SaDs3c,sadjack,2022-11-28T09:54:59,157
IISResetMe,gomock,2021-10-30T21:49:04,329
mmpx12,mongo_extorsion,2021-02-25T14:39:32,117
zimnyaa,xdvoke,2023-05-15T23:57:35,698
SaDs3c,sadware,2023-04-21T10:13:42,822
ARaChn3,gfb,2022-04-08T15:02:05,86
michalswi,got-you,2022-06-03T07:23:59,305
fenix544,BlackRAT,2023-08-07T00:51:17,1253
thegostisdead,Stormwave,2024-02-09T09:09:48,2794
AWildBeard,cdn53,2022-08-06T00:33:12,827
v-lavrentikov,obfuscator,2024-01-13T02:16:52,904
listinvest,G0-Pr0cess-Inject0r,2020-12-30T21:45:30,263
0x0elliot,malgo,2022-09-10T12:45:46,47
KaganEglence,Go-EDR-Evasion,2024-01-22T08:41:03,196
KnightChaser,kaldrexx,2024-03-08T17:25:50,252
Deranged0tter,govm,2024-01-25T15:27:20,236
Milosevic02,Ransomware,2024-03-14T14:27:49,148
fistfulofhummus,Process-Hollowing-in-Go,2024-03-10T15:54:48,482
loosehose,gobble,2023-01-13T21:07:37,3936
guervild,uru,2023-05-01T21:05:13,4241
Egida,kek,2023-11-14T23:46:58,2891
SaturnsVoid,GoBot,2018-11-25T07:27:50,445
SaturnsVoid,GoBot2,2021-09-24T22:41:14,5344
abnarain,malware_detection,2017-06-14T02:27:23,2619
lesnuages,hershell,2020-03-26T09:16:00,374
cw1997,NATBypass,2018-11-03T06:25:09,289
gen0cide,gscript,2024-02-24T18:56:34,9485
mauri870,ransomware,2018-11-17T14:27:46,1830
chenhao5188,YourRansom,2017-04-08T21:49:40,262
audibleblink,gorsh,2021-07-03T02:34:09,1755
D3Ext,malware-practices,2023-10-13T18:03:37,3731
BishopFox,sliver,2024-05-22T18:48:45,7500005
jgamblin,Mirai-Source-Code,2017-07-15T21:54:56,1287
jamesmoriarty,gomem,2021-10-20T10:54:22,570
Binject,debug,2023-05-08T19:55:19,21592
sad0p,d0zer,2023-10-11T22:29:21,1535
p3tr0v,chacal,2021-06-26T16:13:02,248
ginuerzh,gost,2024-02-02T09:22:04,28484
Binject,go-donut,2022-09-08T18:03:26,4810
C-Sto,BananaPhone,2022-02-20T00:26:28,2392
awgh,drone,2021-01-17T00:57:32,254
